dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,63.454629,13.558890,65.496265,62.672982,29.987073,-0.000000,0.467809
0.010000,64.014555,13.843765,66.124494,62.972853,29.987073,0.000000,0.473475
0.010000,64.575517,14.133194,66.755722,63.272724,29.987073,0.000000,0.479179
0.010000,65.137471,14.427217,67.389949,63.572595,29.987073,0.000000,0.484918
0.010000,65.700372,14.725877,68.027174,63.872465,29.987073,-0.000000,0.490693
0.010000,66.264174,15.029213,68.667398,64.172336,29.987073,0.000000,0.496503
0.010000,66.828832,15.337265,69.310621,64.472207,29.987073,0.000000,0.502347
0.010000,67.394298,15.650073,69.956842,64.772077,29.987073,-0.000000,0.508225
0.010000,67.960526,15.967676,70.606062,65.071948,29.987073,0.000000,0.514136
0.010000,68.527468,16.290111,71.258281,65.371819,29.987073,0.000000,0.520080
0.010000,69.095077,16.617418,71.913499,65.671690,29.987073,0.000000,0.526054
0.010000,69.663303,16.949632,72.571715,65.971560,29.987073,0.000000,0.532060
0.010000,70.232098,17.286790,73.232930,66.271431,29.987073,0.000000,0.538096
0.010000,70.801414,17.628928,73.897144,66.571302,29.987073,-0.000000,0.544161
0.010000,71.371199,17.976081,74.564356,66.871173,29.987073,0.000000,0.550254
0.010000,71.941406,18.328283,75.234567,67.171043,29.987073,0.000000,0.556375
0.010000,72.511982,18.685568,75.907777,67.470914,29.987073,-0.000000,0.562522
0.010000,73.082879,19.047968,76.583985,67.770785,29.987073,0.000000,0.568695
0.010000,73.654044,19.415515,77.263193,68.070655,29.987073,0.000000,0.574893
0.010000,74.225428,19.788240,77.945399,68.370526,29.987073,0.000000,0.581115
0.010000,74.796978,20.166174,78.630603,68.670397,29.987073,-0.000000,0.587360
0.010000,75.368645,20.549345,79.318807,68.970268,29.987073,0.000000,0.593626
0.010000,75.940375,20.937782,80.010009,69.270138,29.987073,-0.000000,0.599914
0.010000,76.512117,21.331512,80.704209,69.570009,29.987073,0.000000,0.606221
0.010000,77.083820,21.730562,81.401409,69.869880,29.987073,0.000000,0.612546
0.010000,77.655432,22.134958,82.101607,70.169751,29.987073,-0.000000,0.618889
0.010000,78.226901,22.544723,82.804804,70.469621,29.987073,-0.000000,0.625249
0.010000,78.798175,22.959882,83.510999,70.769492,29.987073,0.000000,0.631624
0.010000,79.369202,23.380456,84.220194,71.069363,29.987073,0.000000,0.638013
0.010000,79.939930,23.806468,84.932387,71.369233,29.987073,0.000000,0.644415
0.010000,80.510309,24.237937,85.647578,71.669104,29.987073,0.000000,0.650829
0.010000,81.080286,24.674883,86.365769,71.968975,29.987073,0.000000,0.657253
0.010000,81.649810,25.117324,87.086958,72.268846,29.987073,0.000000,0.663687
0.010000,82.218830,25.565278,87.811146,72.568716,29.987073,0.000000,0.670129
0.010000,82.787296,26.018759,88.538332,72.868587,29.987073,-0.000000,0.676578
0.010000,83.355156,26.477784,89.268517,73.168458,29.987073,0.000000,0.683032
0.010000,83.922360,26.942366,90.001701,73.468329,29.987073,0.000000,0.689491
0.010000,84.488858,27.412517,90.737884,73.768199,29.987073,-0.000000,0.695953
0.010000,85.054602,27.888250,91.477065,74.068070,29.987073,-0.000000,0.702416
0.010000,85.619541,28.369575,92.219245,74.367941,29.987073,0.000000,0.708880
0.010000,86.183626,28.856500,92.964424,74.667812,29.987073,-0.000000,0.715344
0.010000,86.746811,29.349035,93.712602,74.967682,29.987073,0.000000,0.721805
0.010000,87.309047,29.847186,94.463778,75.267553,29.987073,0.000000,0.728263
0.010000,87.870287,30.350960,95.217953,75.567424,29.987073,0.000000,0.734716
0.010000,88.430484,30.860361,95.975126,75.867294,29.987073,0.000000,0.741164
0.010000,88.989592,31.375392,96.735298,76.167165,29.987073,0.000000,0.747604
0.010000,89.547567,31.896057,97.498469,76.467036,29.987073,0.000000,0.754035
0.010000,90.104363,32.422358,98.264639,76.766907,29.987073,-0.000000,0.760457
0.010000,90.659937,32.954293,99.033808,77.066777,29.987073,0.000000,0.766868
0.010000,91.214245,33.491864,99.805975,77.366648,29.987073,0.000000,0.773266
0.010000,91.767246,34.035068,100.581141,77.666519,29.987073,-0.000000,0.779651
0.010000,92.318896,34.583903,101.359305,77.966390,29.987073,0.000000,0.786021
0.010000,92.869157,35.138364,102.140468,78.266260,29.987073,0.000000,0.792375
0.010000,93.417987,35.698448,102.924630,78.566131,29.987073,-0.000000,0.798711
0.010000,93.965347,36.264148,103.711791,78.866002,29.987073,0.000000,0.805029
0.010000,94.511200,36.835458,104.501950,79.165872,29.987073,0.000000,0.811327
0.010000,95.055507,37.412369,105.295108,79.465743,29.987073,-0.000000,0.817603
0.010000,95.598234,37.994874,106.091265,79.765614,29.987073,0.000000,0.823858
0.010000,96.139343,38.582962,106.890421,80.065485,29.987073,0.000000,0.830090
0.010000,96.678801,39.176624,107.692575,80.365355,29.987073,0.000000,0.836297
0.010000,97.216575,39.775847,108.497728,80.665226,29.987073,-0.000000,0.842478
0.010000,97.752631,40.380621,109.305879,80.965097,29.987073,0.000000,0.848633
0.010000,98.286939,40.990931,110.117030,81.264968,29.987073,-0.000000,0.854760
0.010000,98.819467,41.606763,110.931179,81.564838,29.987073,0.000000,0.860858
0.010000,99.350187,42.228105,111.748326,81.864709,29.987073,0.000000,0.866926
0.010000,99.879070,42.854939,112.568473,82.164580,29.987073,-0.000000,0.872964
0.010000,100.406089,43.487249,113.391618,82.464450,29.987073,-0.000000,0.878969
0.010000,100.931217,44.125020,114.217762,82.764321,29.987073,0.000000,0.884942
0.010000,101.454430,44.768234,115.046905,83.064192,29.987073,0.000000,0.890881
0.010000,101.975704,45.416871,115.879046,83.364063,29.987073,0.000000,0.896785
0.010000,102.495015,46.070914,116.714186,83.663933,29.987073,0.000000,0.902653
0.010000,103.012342,46.730344,117.552324,83.963804,29.987073,0.000000,0.908485
0.010000,103.527665,47.395140,118.393462,84.263675,29.987073,0.000000,0.914280
0.010000,104.040962,48.065281,119.237598,84.563546,29.987073,0.000000,0.920036
0.010000,104.552216,48.740747,120.084733,84.863416,29.987073,0.000000,0.925753
0.010000,105.061410,49.421517,120.934866,85.163287,29.987073,-0.000000,0.931431
0.010000,105.568526,50.107567,121.787999,85.463158,29.987073,0.000000,0.937068
0.010000,106.073551,50.798877,122.644129,85.763028,29.987073,-0.000000,0.942664
0.010000,106.576469,51.495422,123.503259,86.062899,29.987073,0.000000,0.948217
